term,estimate,std_error,p_value,ratio,lo95,hi95,effect,model
(Intercept),1.59016496778407,0.0471146250760469,1.03411206056955e-249,4.90455795565086,4.47193098318267,5.3790384580619,OR,"Part 1 (logit, clustered)"
state_ucVery mild,2.25517902635753,0.137214036040539,1.06571315086095e-60,9.5370005317903,7.28807547317268,12.4798898527012,OR,"Part 1 (logit, clustered)"
state_ucMild,2.0539072068938,0.0814128445630413,1.96044685691349e-140,7.79831127378021,6.64814608473768,9.14746125425537,OR,"Part 1 (logit, clustered)"
state_ucModerate,2.39554952464008,0.0947167363089399,3.93939991440729e-141,10.9742270105481,9.11484790239893,13.2129092847888,OR,"Part 1 (logit, clustered)"
state_ucSevere,2.55879375583842,0.196325186764636,7.89591977185978e-39,12.9202229686168,8.79335559068347,18.9838975391416,OR,"Part 1 (logit, clustered)"
age_band65-74,0.735273062369571,0.0496161888792638,1.10060116284697e-49,2.08605153691663,1.89273965456895,2.29910701356509,OR,"Part 1 (logit, clustered)"
age_band75-84,1.4309457319724,0.0498485482743534,3.22339898124073e-181,4.18265299067434,3.79332361226374,4.61194135502633,OR,"Part 1 (logit, clustered)"
age_band85-89,1.90650119147751,0.0589022009322315,7.9393691883184e-230,6.72950232023694,5.99576194799593,7.55303527239123,OR,"Part 1 (logit, clustered)"
age_band90+,2.13616878787521,0.0827847920532682,8.02130333503513e-147,8.46693677896806,7.19877300444909,9.95850520286383,OR,"Part 1 (logit, clustered)"
sexMALE,-0.211718107309278,0.0319867445686505,3.61801683620303e-11,0.809192770946395,0.760018786701019,0.86154836171108,OR,"Part 1 (logit, clustered)"
ysdx1,-0.121470423637878,0.0210766710445286,8.25024925608416e-09,0.885617246297897,0.849777525140552,0.922968522626608,OR,"Part 1 (logit, clustered)"
ysdx2,-0.188613030004439,0.024661450123815,2.03983863476176e-14,0.828106897222317,0.789031154981624,0.869117814800538,OR,"Part 1 (logit, clustered)"
ysdx3,-0.300423144768364,0.027680423639163,1.92413275723969e-27,0.740504813640279,0.70140011655511,0.781789689054522,OR,"Part 1 (logit, clustered)"
ysdx4,-0.3457232005659,0.0319819170219213,3.08809233389677e-27,0.707708353269122,0.664707783686385,0.753490670004247,OR,"Part 1 (logit, clustered)"
ysdx5,-0.538604338705976,0.0360039752000946,1.34875030793075e-50,0.58356213937717,0.543800879154343,0.626230636191755,OR,"Part 1 (logit, clustered)"
ysdx6,-0.696552238707122,0.0437776046887824,5.30264392047165e-57,0.498300366244484,0.457327120715901,0.542944522097644,OR,"Part 1 (logit, clustered)"
ysdx7,-1.08855257598235,0.0579389362354335,9.48090322356366e-79,0.336703493897716,0.300558493210122,0.377195272680823,OR,"Part 1 (logit, clustered)"
diedDied,0.634310191213827,0.0669095283790585,2.53996889721499e-21,1.88572090585933,1.65395190070781,2.14996780334008,OR,"Part 1 (logit, clustered)"
